QAM
time (\mus),Amplitude
3.1699998,28.172335
3.18,32.234455
3.1899998,36.534565
3.2,27.466297
3.21,33.792442
3.22,21.395546
3.23,22.787458
3.24,27.979387
3.25,28.659227
3.26,27.419668
3.27,28.985006
3.28,21.988646
3.29,9.302758
3.3,13.23578
3.31,6.523587
3.32,16.358107
3.33,6.835933
3.34,4.690174
3.3500001,8.367488
3.36,11.046011
3.3700001,-3.4556067
3.3799999,-3.0871
3.39,-5.21313
3.3999999,-5.601457
3.41,-9.476285
3.42,-3.5917196
3.4299998,-13.417174
3.44,-15.738611
3.4499998,-16.841677
3.46,-16.711725
3.47,-17.640818
3.48,-17.661295
3.49,-25.526665
3.5,-35.262234
3.51,-33.320038
3.52,-34.303703
3.53,-35.997192
3.54,-35.61558
3.55,-33.039856
3.56,-36.479122
3.57,-34.06501
3.58,-28.167429
3.59,-35.043854
3.6,-37.99128
3.6100001,-42.177197
3.62,-38.583935
3.63,-35.44197
3.6399999,-46.984875
3.65,-35.637207
3.6599998,-34.95092
3.67,-36.659702
3.68,-41.646294
3.69,-36.03997
3.7,-33.98707
3.7099998,-28.262278
3.72,-31.449844
3.7299998,-32.86994
3.74,-25.782293
3.75,-24.156523
3.76,-27.12223
3.77,-11.071627
3.78,-18.944824
3.79,-16.708223
3.8,-12.467095
3.81,-8.1493845
3.8200002,-3.9280965
3.83,-10.248899
3.84,-12.829903
3.8499997,-4.2840743
3.8600001,-8.536354
3.87,1.932271
3.8799999,0.8427966
3.8899999,-0.05273377
3.9,-0.8035405
3.91,6.958857
3.9199998,9.526979
3.9299998,15.540136
3.94,5.578987
3.95,17.029024
3.96,15.243111
3.9699998,16.53812
3.9800003,24.14163
3.99,24.724297
4.0,23.212303
4.0099998,24.412308
4.02,26.362339
4.03,33.635754
4.04,30.066399
4.0499997,39.30765
4.06,40.862347
4.07,35.4688
4.08,28.513765
4.09,35.809116
4.1,31.874966
4.11,23.77575
4.12,38.095886
4.13,44.626896
4.14,30.200138
4.1499996,29.728542
4.1600003,31.50087
4.17,28.130043
4.18,34.93863
4.1899996,37.97406
4.2000003,32.182762
4.21,32.03076
4.22,30.313692
4.23,21.140013
4.2400002,24.097795
4.25,25.597254
4.2599998,26.828142
4.27,20.372866
4.2799997,26.430525
4.29,26.138674
4.3,20.68241
4.31,11.058166
4.3199997,14.436104
4.33,4.679646
4.34,-2.0104065
4.35,5.5388093
4.3599997,6.557465
4.3700004,3.6667647
4.38,-0.5204121
4.39,-2.217158
4.3999996,-2.631658
4.41,-6.9786825
4.42,-4.6679626
4.43,-9.478335
4.44,-9.687492
4.45,-20.548332
4.46,-15.787066
4.47,-18.24399
4.48,-19.428755
4.49,-25.911835
4.5,-32.44337
4.51,-29.884363
4.52,-23.041227
4.5299997,-26.537985
4.54,-34.11917
4.55,-28.183058
4.56,-31.89899
4.5699997,-38.09393
4.58,-37.454685
4.59,-33.345604
4.6,-29.602625
4.61,-30.069294
4.62,-30.303001
4.63,-37.39551
4.64,-38.80591
4.65,-33.62433
4.66,-42.3305
4.67,-36.96802
4.6800003,-35.734493
4.69,-37.210365
4.7,-27.937044
4.7099996,-35.51617
4.7200003,-30.017612
4.73,-25.95252
4.74,-32.260002
4.75,-20.462257
4.76,-26.522913
4.77,-19.558815
4.7799997,-14.709031
4.79,-19.844324
4.8,-9.753683
4.81,-16.738823
4.82,2.0965152
4.83,-8.62988
4.8399997,-11.366473
4.85,-9.415779
4.86,4.219529
4.87,-3.037429
4.8799996,3.9605567
4.8900003,6.392868
4.9,4.8084264
4.91,3.87496
4.9199996,9.007615
4.9300003,13.021809
4.94,15.6150055
4.95,13.07836
4.96,12.272067
4.9700003,15.93763
4.98,27.102716
4.99,26.765665
5.0,15.646073
5.0099998,25.23819
5.02,35.310505
5.03,27.668291
5.04,25.207315
5.0499997,22.48392
5.06,28.797523
5.07,37.492355
5.08,33.999218
5.0899997,34.18455
5.1000004,38.95984
5.11,35.37085
5.12,29.773493
5.1299996,34.82935
5.14,23.587366
5.15,38.53859
5.16,34.55353
5.17,37.430458
5.18,30.231
5.19,27.486813
5.2,31.950584
5.21,30.865425
5.22,33.955894
5.23,34.576603
5.2400002,33.091946
5.25,22.778738
5.2599998,23.758236
5.27,22.159811
5.28,21.792597
5.29,18.166126
5.2999997,13.895069
5.31,21.476719
5.32,17.435696
5.33,10.520773
5.34,12.9799
5.35,6.3470073
5.36,-4.157802
5.37,1.6415609
5.38,-6.8470926
5.39,5.8541155
5.4,-7.6941423
5.41,-1.7497282
5.42,-7.9394393
5.43,-7.9193516
5.4399996,-8.970279
5.4500003,-14.268148
5.46,-24.320421
5.47,-25.827215
5.48,-7.4514394
5.4900002,-29.679224
5.5,-26.702967
5.5099998,-21.125233
5.52,-20.76259
5.53,-23.014297
5.54,-32.338818
5.55,-29.628069
5.56,-34.192944
5.5699997,-22.344227
5.58,-39.500595
5.59,-37.188305
5.6,-35.408157
5.6099997,-44.07605
5.6200004,-34.52384
5.63,-32.150608
5.64,-42.116703
5.6499996,-23.618631
5.6600003,-37.187675
5.67,-41.297417
5.68,-25.441393
5.69,-34.982815
5.7,-28.555714
5.71,-36.686844
5.72,-33.52617
5.73,-29.675951
5.74,-28.412378
5.75,-28.15924
5.76,-25.361494
5.77,-27.118755
5.7799997,-15.687341
5.79,-17.38291
5.8,-10.702599
5.81,-22.308119
5.8199997,-16.687637
5.8300004,-12.136786
5.84,-4.1095734
5.85,-9.123103
5.8599997,1.4137521
5.87,-1.954661
5.88,4.006678
5.89,0.81824625
5.9,6.7032595
5.91,11.71929
5.92,1.2388574
5.93,16.269941
5.94,7.416573
5.95,6.672164
5.96,20.808004
5.9700003,24.709106
5.98,18.019104
5.99,19.345818
5.9999995,28.479267
6.01,34.624428
6.02,19.044333
6.0299997,19.569487
6.04,40.923626
6.05,33.113945
6.06,31.804272
6.0699997,42.86999
6.08,36.92979
6.09,29.731857
6.1,41.395443
6.11,35.490448
6.12,35.47448
6.1299996,39.492687
6.14,29.539207
6.15,39.056187
6.16,34.537197
6.1699996,19.951632
6.1800003,32.496346
6.19,29.668516
6.2,33.793842
6.21,35.676987
